Symbol,YdayVol,Avg10dVol,OpenVol,13:07
SBIN,8544184,9151434,6121088,6121088
SHREECEM,33488,27157,12969,12969
SHRIRAMFIN,3516949,6466080,3473569,3473569
SIEMENS,1107988,410416,209887,209887
SOLARINDS,53004,78658,36713,36713
SONACOMS,2517947,3836379,2193117,2193117
SRF,150758,824511,161647,161647
SUNPHARMA,3972351,3059449,1050883,1050883
SUPREMEIND,145252,207734,77115,77115
SUZLON,61548498,92976476,24948326,24948326
SWIGGY,14273970,30600546,6353489,6353489
TATACONSUM,2064394,1666459,694324,694324
TATAELXSI,162634,513570,92754,92754
TATAPOWER,2280780,3153414,859159,859159
TATASTEEL,22165429,20695567,8790172,8790172
TCS,2792792,4181502,1736226,1736226
TECHM,4154154,2772031,1131466,1131466
TIINDIA,430580,360534,237307,237307
TITAN,1181747,805872,353407,353407
TMPV,8003110,7605208,5226674,5226674
TORNTPHARM,658560,628858,333565,333565
TRENT,1525660,813013,456790,456790
TVSMOTOR,1612965,2066673,844483,844483
ULTRACEMCO,126569,283553,156485,156485
UNIONBANK,6867862,9764919,9024937,9024937
UNITDSPR,553258,1321587,291229,291229
UNOMINDA,2361917,955683,1459382,1459382
UPL,7452417,1876631,2243906,2243906
VBL,3152444,10455216,1239421,1239421
VEDL,14077888,8672716,8516715,8516715
VMM,12245621,12840127,3181101,3181101
VOLTAS,259054,451666,244793,244793
WAAREEENER,614626,1261923,249779,249779
WIPRO,11903457,19344328,5961720,5961720
YESBANK,41667544,61573648,48647589,48647589
ZYDUSLIFE,1085433,983968,742734,742734
